GroundTruth,GeneratedAnswer,SemanticSimilarity
"in combination with trastuzumab and capecitabine for treatment of adult 
patients with advanced unresectable or metastatic HER2-positive breast 
cancer, including patients with brain metastases, who have received one 
or more prior anti-HER2-based regimens in the metastatic setting. (1.1).in combination with trastuzumab for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal 
cancer that has progressed following treatment with fluoropyrimidine-, 
oxaliplatin-, and irinotecan-based chemotherapy. (1.2) This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","TUKYSA is indicated for the treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer in combination with trastuzumab and capecitabine, including patients with brain metastases, who have received one or more prior anti-HER2-based regimens in the metastatic setting. It is also indicated for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal cancer that has progressed following treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.",0.7405269145965576
"in combination with trastuzumab and capecitabine for treatment of adult 
patients with advanced unresectable or metastatic HER2-positive breast 
cancer, including patients with brain metastases, who have received one 
or more prior anti-HER2-based regimens in the metastatic setting. (1.1).in combination with trastuzumab for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal 
cancer that has progressed following treatment with fluoropyrimidine-, 
oxaliplatin-, and irinotecan-based chemotherapy. (1.2) This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","The indications for TUKYSA are:

In combination with trastuzumab and capecitabine for the treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer who have received one or more prior anti-HER2-based regimens.
In combination with trastuzumab for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal cancer that has progressed following treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.",0.8058748841285706
"in combination with trastuzumab and capecitabine for treatment of adult 
patients with advanced unresectable or metastatic HER2-positive breast 
cancer, including patients with brain metastases, who have received one 
or more prior anti-HER2-based regimens in the metastatic setting. (1.1).in combination with trastuzumab for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal 
cancer that has progressed following treatment with fluoropyrimidine-, 
oxaliplatin-, and irinotecan-based chemotherapy. (1.2) This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials."," TUKYSA is a kinase inhibitor indicated for the treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer in combination with trastuzumab and capecitabine, and for the treatment of adult patients with RAS wild-type HER2-positive unresectable or metastatic colorectal cancer in combination with trastuzumab.",0.6511927843093872
"In patients with unresectable or metastatic colorectal cancer, confirm the presence of HER2 protein overexpression and RAS wild-type in tumor specimens prior to the initiation of TUKYSA (2.1). Recommended dosage: 300 mg taken orally twice daily with or without 
food. (2.1). For patients with severe hepatic impairment, the recommended dosage is 200 mg orally twice daily. (2.3, 8.7)","Recommended dosage for TUKYSA is 300 mg taken orally twice daily with or without food. In patients with severe hepatic impairment, the recommended dosage is 200 mg orally twice daily.",0.8279266357421875
"• Diarrhea: Severe diarrhea, including dehydration, acute kidney injury, and 
death, has been reported. Administer antidiarrheal treatment as clinically 
indicated. Interrupt dose, then dose reduce, or permanently discontinue 
TUKYSA based on severity. (2.2, 5.1) 
• Hepatotoxicity: Severe hepatotoxicity has been reported on TUKYSA. 
Monitor ALT, AST and bilirubin prior to starting TUKYSA, every 3 weeks 
during treatment and as clinically indicated. Interrupt dose, then dose 
reduce, or permanently discontinue TUKYSA based on severity. (2.2, 5.2) 
• Embryo-Fetal Toxicity: TUKYSA can cause fetal harm. Advise patients of 
potential risk to a fetus and to use effective contraception. (5.3, 8.1, 8.3) 
Also, refer to the Full Prescribing Information of trastuzumab and 
capecitabine for pregnancy and contraception information.","The warnings for TUKYSA include:

Diarrhea: Severe diarrhea, including dehydration, acute kidney injury, and death, has been reported. Administer antidiarrheal treatment as clinically indicated. Interrupt dose, then dose reduce, or permanently discontinue TUKYSA based on severity.
Hepatotoxicity: Severe hepatotoxicity has been reported with TUKYSA. Monitor ALT, AST, and bilirubin levels prior to starting TUKYSA, every 3 weeks during treatment, and as clinically indicated. Interrupt dose, then dose reduce, or permanently discontinue TUKYSA based on severity.
Embryo-Fetal Toxicity: TUKYSA can cause fetal harm. Advise patients of the potential risk to a fetus and to use effective contraception.",0.9369297623634338
"• Diarrhea: Severe diarrhea, including dehydration, acute kidney injury, and 
death, has been reported. Administer antidiarrheal treatment as clinically 
indicated. Interrupt dose, then dose reduce, or permanently discontinue 
TUKYSA based on severity. (2.2, 5.1) 
• Hepatotoxicity: Severe hepatotoxicity has been reported on TUKYSA. 
Monitor ALT, AST and bilirubin prior to starting TUKYSA, every 3 weeks 
during treatment and as clinically indicated. Interrupt dose, then dose 
reduce, or permanently discontinue TUKYSA based on severity. (2.2, 5.2) 
• Embryo-Fetal Toxicity: TUKYSA can cause fetal harm. Advise patients of 
potential risk to a fetus and to use effective contraception. (5.3, 8.1, 8.3) 
Also, refer to the Full Prescribing Information of trastuzumab and 
capecitabine for pregnancy and contraception information.","The warnings to watch for are:

Diarrhea: Severe diarrhea, including dehydration, acute kidney injury, and death.
Hepatotoxicity: Severe hepatotoxicity.
Embryo-Fetal Toxicity: TUKYSA can cause fetal harm.",0.7826070785522461
"The most common adverse reactions (?20%) with TUKYSA in 
combination with trastuzumab and capecitabine in patients with 
metastatic breast cancer are diarrhea, palmar-plantar erythrodysesthesia, 
nausea, hepatotoxicity, vomiting, stomatitis, decreased appetite, anemia, 
and rash. (6.1) 
• 
The most common adverse reactions (?20%) with TUKYSA in 
combination with trastuzumab in patients with unresectable or metastatic 
colorectal cancer are diarrhea, fatigue, rash, nausea, abdominal pain, 
infusion related reactions, and pyrexia. 
To report SUSPECTED ADVERSE REACTIONS, contact Seagen at 1­
855-4SEAGEN or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","The most common adverse reactions with TUKYSA in combination with trastuzumab and capecitabine in patients with metastatic breast cancer are diarrhea, palmar-plantar erythrodysesthesia, nausea, hepatotoxicity, vomiting, stomatitis, decreased appetite, anemia, and rash. The most common adverse reactions with TUKYSA in combination with trastuzumab in patients with unresectable or metastatic colorectal cancer are diarrhea, fatigue, rash, nausea, abdominal pain, infusion-related reactions, and pyrexia.",0.939487874507904
"Strong CYP3A Inducers or Moderate CYP2C8 Inducers: Avoid 
concomitant use. (7.1) 
• Strong CYP2C8 Inhibitors: Avoid concomitant use; reduce TUKYSA dose 
if concomitant use cannot be avoided. (2.4, 7.1) 
• CYP3A Substrates: Avoid concomitant use with CYP3A substrates, where 
minimal concentration changes may lead to serious or life-threatening 
toxicities. (7.2) 
• P-gp Substrates: Consider reducing the dose of P-gp substrates, where 
minimal concentration changes may lead to serious or life-threatening 
toxicities. (7.2)","The document states the following drug interactions for TUKYSA:

Avoid concomitant use with Strong CYP3A Inducers or Moderate CYP2C8 Inducers.
Avoid concomitant use with Strong CYP2C8 Inhibitors; reduce TUKYSA dose if concomitant use cannot be avoided.
Avoid concomitant use with CYP3A Substrates, where minimal concentration changes may lead to serious or life-threatening toxicities.
Consider reducing the dose of P-gp Substrates, where minimal concentration changes may lead to serious or life-threatening toxicities.",0.8131722211837769
"AFINITOR is a kinase inhibitor indicated for the treatment of: 
•  Postmenopausal women with advanced hormone receptor-positive, HER2­
negative breast cancer in combination with exemestane after failure of 
treatment with letrozole or anastrozole. (1.1) 
•  Adults with progressive neuroendocrine tumors of pancreatic origin 
(PNET) and adults with progressive, well-differentiated, non-functional 
neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin that 
are unresectable, locally advanced or metastatic. 
Limitations of Use: AFINITOR is not indicated for the treatment of 
patients with functional carcinoid tumors. (1.2) 
•  Adults with advanced renal cell carcinoma (RCC) after failure of treatment 
with sunitinib or sorafenib. (1.3) 
•  Adults with renal angiomyolipoma and tuberous sclerosis complex (TSC), 
not requiring immediate surgery. (1.4) 
AFINITOR and AFINITOR DISPERZ are kinase inhibitors indicated for the 
treatment of adult and pediatric patients aged 1 year and older with TSC who 
have subependymal giant cell astrocytoma (SEGA) that requires therapeutic 
intervention but cannot be curatively resected. (1.5) 
AFINITOR DISPERZ is a kinase inhibitor indicated for the adjunctive 
treatment of adult and pediatric patients aged 2 years and older with TSC-
associated partial-onset seizures. (1.6)","The document provides the following indications for the use of AFINITOR:

Postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer in combination with exemestane after failure of treatment with letrozole or anastrozole.
Adults with progressive neuroendocrine tumors of pancreatic origin (PNET) and adults with progressive, well-differentiated, non-functional neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin that are unresectable, locally advanced, or metastatic.
Adults with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.
Adults with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.
Adult and pediatric patients aged 1 year and older with TSC who have subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected.
Adult and pediatric patients aged 2 years and older with TSC-associated partial-onset seizures.",0.8102045059204102
"AFINITOR is a kinase inhibitor indicated for the treatment of: 
•  Postmenopausal women with advanced hormone receptor-positive, HER2­
negative breast cancer in combination with exemestane after failure of 
treatment with letrozole or anastrozole. (1.1) 
•  Adults with progressive neuroendocrine tumors of pancreatic origin 
(PNET) and adults with progressive, well-differentiated, non-functional 
neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin that 
are unresectable, locally advanced or metastatic. 
Limitations of Use: AFINITOR is not indicated for the treatment of 
patients with functional carcinoid tumors. (1.2) 
•  Adults with advanced renal cell carcinoma (RCC) after failure of treatment 
with sunitinib or sorafenib. (1.3) 
•  Adults with renal angiomyolipoma and tuberous sclerosis complex (TSC), 
not requiring immediate surgery. (1.4) 
AFINITOR and AFINITOR DISPERZ are kinase inhibitors indicated for the 
treatment of adult and pediatric patients aged 1 year and older with TSC who 
have subependymal giant cell astrocytoma (SEGA) that requires therapeutic 
intervention but cannot be curatively resected. (1.5) 
AFINITOR DISPERZ is a kinase inhibitor indicated for the adjunctive 
treatment of adult and pediatric patients aged 2 years and older with TSC-
associated partial-onset seizures. (1.6)","The document provides information on the usage of AFINITOR:

AFINITOR is indicated for the treatment of various conditions such as advanced breast cancer, neuroendocrine tumors, renal cell carcinoma, renal angiomyolipoma, and certain conditions associated with tuberous sclerosis complex.",0.7445278167724609
